------------------------
------------------------
31/8/2020 10:4:3 msg stop 3 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=245359484, rssi=-50, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=79, tx_frequency=868000000)
31/8/2020 10:4:5 msg stop 3 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=247670494, rssi=-50, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=80, tx_frequency=868000000)
31/8/2020 10:4:9 msg stop 4 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=251282443, rssi=-49, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=81, tx_frequency=868000000)
31/8/2020 10:4:17 msg stop 4 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=259293491, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=84, tx_frequency=868000000)
31/8/2020 10:4:21 msg stop 5 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=263544493, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=86, tx_frequency=868000000)
31/8/2020 10:4:24 msg stop 6 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=266804500, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=87, tx_frequency=868000000)
31/8/2020 10:4:27 msg stop 6 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=269554500, rssi=-49, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=88, tx_frequency=868000000)
31/8/2020 10:4:31 msg stop 7 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=273314498, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=89, tx_frequency=868000000)
31/8/2020 10:4:34 msg stop 7 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=276564501, rssi=-48, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=90, tx_frequency=868000000)
31/8/2020 10:4:37 msg stop 8 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=279324512, rssi=-46, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=91, tx_frequency=868000000)
31/8/2020 10:4:41 msg stop 8 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=283076511, rssi=-46, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=93, tx_frequency=868000000)
31/8/2020 10:4:45 msg stop 9 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=287336556, rssi=-45, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=94, tx_frequency=868000000)
31/8/2020 10:4:48 msg stop 9 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=290589564, rssi=-44, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=96, tx_frequency=868000000)
31/8/2020 10:4:51 msg stop 10 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=293349515, rssi=-44, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=97, tx_frequency=868000000)
31/8/2020 10:4:55 msg stop 10 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=297102528, rssi=-44, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=98, tx_frequency=868000000)
31/8/2020 10:4:59 msg stop 11 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=301361567, rssi=-42, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=99, tx_frequency=868000000)
31/8/2020 10:5:2 msg stop 11 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=304614570, rssi=-43, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=99, tx_frequency=868000000)
31/8/2020 10:5:5 msg stop 12 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=307374576, rssi=-43, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=100, tx_frequency=868000000)
31/8/2020 10:5:8 msg stop 12 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=310127575, rssi=-43, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=100, tx_frequency=868000000)
31/8/2020 10:5:12 msg stop 13 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=313886535, rssi=-42, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=101, tx_frequency=868000000)
31/8/2020 10:5:16 msg stop 13 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=318395540, rssi=-53, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=102, tx_frequency=868000000)
31/8/2020 10:5:19 msg stop 14 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=321148539, rssi=-53, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=102, tx_frequency=868000000)
31/8/2020 10:5:23 msg stop 14 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=324907544, rssi=-51, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=103, tx_frequency=868000000)
31/8/2020 10:5:25 msg stop 14 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=327158551, rssi=-51, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=104, tx_frequency=868000000)
31/8/2020 10:5:27 msg stop 3 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=329418544, rssi=-50, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=104, tx_frequency=868000000)
31/8/2020 10:5:31 msg stop 3 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=333668549, rssi=-51, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=105, tx_frequency=868000000)
31/8/2020 10:5:34 msg stop 4 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=335928512, rssi=-49, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=105, tx_frequency=868000000)
31/8/2020 10:5:36 msg stop 4 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=338179508, rssi=-50, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=106, tx_frequency=868000000)
31/8/2020 10:5:39 msg stop 5 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=340939557, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=106, tx_frequency=868000000)
31/8/2020 10:5:42 msg stop 5 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=344690559, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=107, tx_frequency=868000000)
31/8/2020 10:5:47 msg stop 6 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=348949563, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=108, tx_frequency=868000000)
31/8/2020 10:5:51 msg stop 6 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=353214559, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=109, tx_frequency=868000000)
31/8/2020 10:5:54 msg stop 7 30aea474cbcc 3c71bf875fa8 30aea458f354 3c71bf877510 2 stats (rx_timestamp=356474564, rssi=-46, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=109, tx_frequency=868000000)
------------------------
31/8/2020 10:0:23 msg Config 2 30aea474cbcc stats (rx_timestamp=25556882, rssi=-21, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=9, tx_frequency=868000000)
31/8/2020 10:0:26 msg Config 2 30aea474cbcc stats (rx_timestamp=27860897, rssi=-25, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=10, tx_frequency=868000000)
31/8/2020 10:0:30 msg Config 3 30aea474cbcc stats (rx_timestamp=32179909, rssi=-25, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=11, tx_frequency=868000000)
31/8/2020 10:0:33 msg Config 2 30aea474cbcc 30aea458f354 stats (rx_timestamp=35619822, rssi=-64, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=12, tx_frequency=868000000)
31/8/2020 10:0:34 msg Config 2 30aea474cbcc 30aea458f354 stats (rx_timestamp=35792826, rssi=-65, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=12, tx_frequency=868000000)
31/8/2020 10:0:41 msg Config 4 30aea474cbcc 30aea458f354 stats (rx_timestamp=43476826, rssi=-61, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=13, tx_frequency=868000000)
31/8/2020 10:0:41 msg Config 4 30aea474cbcc 30aea458f354 stats (rx_timestamp=43647832, rssi=-62, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=13, tx_frequency=868000000)
31/8/2020 10:1:12 msg stop 2 30aea474cbcc 30aea458f354 3c71bf877510 1 stats (rx_timestamp=74307360, rssi=-58, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=16, tx_frequency=868000000)
31/8/2020 10:1:14 Config ack recibido 
31/8/2020 10:1:14 msg stop 3 30aea474cbcc 30aea458f354 3c71bf877510 1 stats (rx_timestamp=76525317, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=16, tx_frequency=868000000)
31/8/2020 10:1:15 msg stop 2 30aea474cbcc 30aea458f354 3c71bf877510 0 stats (rx_timestamp=76832037, rssi=-14, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=16, tx_frequency=868000000)
31/8/2020 10:1:17 msg stop 2 30aea474cbcc 30aea458f354 3c71bf877510 1 stats (rx_timestamp=79239364, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=16, tx_frequency=868000000)
31/8/2020 10:1:17 msg stop 3 30aea474cbcc 30aea458f354 3c71bf877510 0 stats (rx_timestamp=79559024, rssi=-15, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=16, tx_frequency=868000000)
31/8/2020 10:1:20 msg stop 2 30aea474cbcc 30aea458f354 3c71bf877510 0 stats (rx_timestamp=82030055, rssi=-14, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=17, tx_frequency=868000000)
31/8/2020 10:1:20 msg Hello 2 30aea458f354 stats (rx_timestamp=82235378, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=17, tx_frequency=868000000)
31/8/2020 10:1:21 msg Hello 2 30aea474cbcc stats (rx_timestamp=83432076, rssi=-25, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=17, tx_frequency=868000000)
31/8/2020 10:1:26 msg Hello 2 30aea474cbcc stats (rx_timestamp=88245083, rssi=-24, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=19, tx_frequency=868000000)
31/8/2020 10:1:28 msg Hello 2 30aea474cbcc stats (rx_timestamp=89903102, rssi=-26, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=20, tx_frequency=868000000)
31/8/2020 10:1:29 msg Hello 2 30aea458f354 stats (rx_timestamp=90911381, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=20, tx_frequency=868000000)
31/8/2020 10:1:29 msg Hello 2 30aea474cbcc stats (rx_timestamp=91107104, rssi=-26, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=20, tx_frequency=868000000)
31/8/2020 10:1:30 msg Hello 2 30aea458f354 stats (rx_timestamp=92053378, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=20, tx_frequency=868000000)
31/8/2020 10:1:33 msg Hello 3 30aea474cbcc stats (rx_timestamp=95316118, rssi=-19, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=22, tx_frequency=868000000)
