------------------------
------------------------
31/8/2020 10:4:45 msg Discover normal 13 3c71bf877510 stats (rx_timestamp=287336556, rssi=-45, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=94, tx_frequency=868000000)
31/8/2020 10:4:48 msg Discover normal 13 3c71bf877510 stats (rx_timestamp=287336556, rssi=-45, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=95, tx_frequency=868000000)
31/8/2020 10:4:50 msg Discover normal 13 3c71bf877510 stats (rx_timestamp=290589564, rssi=-44, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=96, tx_frequency=868000000)
31/8/2020 10:4:53 msg Discover next 14 2 stats (rx_timestamp=293349515, rssi=-44, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=98, tx_counter=97, tx_frequency=868000000)
31/8/2020 10:4:58 msg Discover next 14 2 stats (rx_timestamp=297102528, rssi=-44, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=98, tx_frequency=868000000)
31/8/2020 10:5:3 msg Discover next 14 2 stats (rx_timestamp=304614570, rssi=-43, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=99, tx_frequency=868000000)
31/8/2020 10:5:8 msg Discover next 14 2 stats (rx_timestamp=310127575, rssi=-43, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=100, tx_frequency=868000000)
31/8/2020 10:5:14 msg Discover next 14 2 stats (rx_timestamp=313886535, rssi=-42, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=101, tx_frequency=868000000)
31/8/2020 10:5:19 msg Discover next 14 2 stats (rx_timestamp=318395540, rssi=-53, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=102, tx_frequency=868000000)
31/8/2020 10:5:24 msg Discover next 14 2 stats (rx_timestamp=324907544, rssi=-51, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=103, tx_frequency=868000000)
