, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3722, tx_frequency=868000000)
17/7/2020 2:48:33 msg Hay buena cobertura de sensor 2 10064 stats (rx_timestamp=1529665406, rssi=-109, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3766, tx_frequency=868000000)
17/7/2020 2:48:35 msg Hay buena cobertura de sensor 2 10065 stats (rx_timestamp=1532314460, rssi=-107, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3767, tx_frequency=868000000)
17/7/2020 2:48:38 msg Hay buena cobertura de sensor 2 10066 stats (rx_timestamp=1534960466, rssi=-108, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3768, tx_frequency=868000000)
17/7/2020 2:48:41 msg Hay buena cobertura de sensor 2 10067 stats (rx_timestamp=1537612428, rssi=-107, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3769, tx_frequency=868000000)
17/7/2020 2:48:43 msg Hay buena cobertura de sensor 2 10068 stats (rx_timestamp=1540444438, rssi=-109, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3770, tx_frequency=868000000)
17/7/2020 2:48:46 msg Hay buena cobertura de sensor 2 10069 stats (rx_timestamp=1543095445, rssi=-108, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3771, tx_frequency=868000000)
17/7/2020 2:48:49 msg Hay buena cobertura de sensor 2 10070 stats (rx_timestamp=1545765456, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3772, tx_frequency=868000000)
17/7/2020 2:48:51 msg Hay buena cobertura de sensor 2 10071 stats (rx_timestamp=1548471509, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3773, tx_frequency=868000000)
17/7/2020 2:48:54 msg Hay buena cobertura de sensor 2 10072 stats (rx_timestamp=1551362511, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3774, tx_frequency=868000000)
17/7/2020 2:48:57 msg Hay buena cobertura de sensor 2 10073 stats (rx_timestamp=1554082527, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3775, tx_frequency=868000000)
17/7/2020 2:49:0 msg Hay buena cobertura de sensor 2 10074 stats (rx_timestamp=1556801531, rssi=-109, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3776, tx_frequency=868000000)
17/7/2020 2:49:2 msg Hay buena cobertura de sensor 2 10075 stats (rx_timestamp=1559530540, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3777, tx_frequency=868000000)
17/7/2020 2:49:5 msg Hay buena cobertura de sensor 2 10076 stats (rx_timestamp=1562241505, rssi=-108, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3778, tx_frequency=868000000)
17/7/2020 2:49:8 msg Hay buena cobertura de sensor 2 10077 stats (rx_timestamp=1565109553, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3779, tx_frequency=868000000)
17/7/2020 2:49:11 msg Hay buena cobertura de sensor 2 10078 stats (rx_timestamp=1567820562, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3780, tx_frequency=868000000)
17/7/2020 2:49:13 msg Hay buena cobertura de sensor 2 10079 stats (rx_timestamp=1570524573, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3781, tx_frequency=868000000)
17/7/2020 2:49:16 msg Hay buena cobertura de sensor 2 10080 stats (rx_timestamp=1573255578, rssi=-108, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3782, tx_frequency=868000000)
17/7/2020 2:49:32 msg Hay buena cobertura de sensor 2 10081 stats (rx_timestamp=1589533638, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3789, tx_frequency=868000000)
17/7/2020 2:49:35 msg Hay buena cobertura de sensor 2 10087 stats (rx_timestamp=1592398598, rssi=-107, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3790, tx_frequency=868000000)
17/7/2020 2:49:38 msg Hay buena cobertura de sensor 2 10088 stats (rx_timestamp=1595125608, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3791, tx_frequency=868000000)
17/7/2020 2:49:41 msg Hay buena cobertura de sensor 2 10089 stats (rx_timestamp=1598082659, rssi=-106, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3792, tx_frequency=868000000)
17/7/2020 2:49:44 msg Hay buena cobertura de sensor 2 10090 stats (rx_timestamp=1600797628, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3793, tx_frequency=868000000)
17/7/2020 2:49:47 msg Hay buena cobertura de sensor 2 10091 stats (rx_timestamp=1603677678, rssi=-107, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3794, tx_frequency=868000000)
17/7/2020 2:49:50 msg Hay buena cobertura de sensor 2 10092 stats (rx_timestamp=1606630687, rssi=-109, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3795, tx_frequency=868000000)
17/7/2020 2:50:16 msg Hay buena cobertura de sensor 2 10093 stats (rx_timestamp=1632717728, rssi=-106, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3806, tx_frequency=868000000)
17/7/2020 2:50:18 msg Hay buena cobertura de sensor 2 10103 stats (rx_timestamp=1635421734, rssi=-106, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3807, tx_frequency=868000000)
17/7/2020 2:50:21 msg Hay buena cobertura de sensor 2 10104 stats (rx_timestamp=1638138785, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3808, tx_frequency=868000000)
17/7/2020 2:50:24 msg Hay buena cobertura de sensor 2 10105 stats (rx_timestamp=1640857793, rssi=-107, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3809, tx_frequency=868000000)
17/7/2020 2:50:27 msg Hay buena cobertura de sensor 2 10106 stats (rx_timestamp=1643568802, rssi=-107, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3810, tx_frequency=868000000)
17/7/2020 2:50:29 msg Hay buena cobertura de sensor 2 10107 stats (rx_timestamp=1646448725, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3811, tx_frequency=868000000)
17/7/2020 2:50:32 msg Hay buena cobertura de sensor 2 10108 stats (rx_timestamp=1649166774, rssi=-108, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3812, tx_frequency=868000000)
17/7/2020 2:50:35 msg Hay buena cobertura de sensor 2 10109 stats (rx_timestamp=1651893782, rssi=-106, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3813, tx_frequency=868000000)
17/7/2020 2:50:38 msg Hay buena cobertura de sensor 2 10110 stats (rx_timestamp=1654781840, rssi=-108, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3814, tx_frequency=868000000)
17/7/2020 2:50:40 msg Hay buena cobertura de sensor 2 10111 stats (rx_timestamp=1657491848, rssi=-106, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3815, tx_frequency=868000000)
17/7/2020 2:50:43 msg Hay buena cobertura de sensor 2 10112 stats (rx_timestamp=1660203854, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3816, tx_frequency=868000000)
17/7/2020 2:50:46 msg Hay buena cobertura de sensor 2 10113 stats (rx_timestamp=1662927860, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3817, tx_frequency=868000000)
17/7/2020 2:50:49 msg Hay buena cobertura de sensor 2 10114 stats (rx_timestamp=1665647866, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3818, tx_frequency=868000000)
17/7/2020 2:50:51 msg Hay buena cobertura de sensor 2 10115 stats (rx_timestamp=1668362835, rssi=-108, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3819, tx_frequency=868000000)
17/7/2020 2:51:5 msg Hay buena cobertura de sensor 2 10116 stats (rx_timestamp=1681826875, rssi=-107, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3825, tx_frequency=868000000)
