6ç#ÓrãÂ6g'ƒÓrÂ6gGƒÓrÂG…÷G&–Ç3Ó, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:28 msg Config 13 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1590480383, rssi=-92, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:32 msg Config 13 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1593850382, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:35 msg Config 14 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1597232366, rssi=-91, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:38 msg Config 14 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1600103367, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:42 msg Config 14 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1604153356, rssi=-103, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:46 msg Config 14 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1608025347, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:50 msg Config 3 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1612401269, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:54 msg Config 3 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1615767266, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:2:57 msg Config 4 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1618641267, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:0 msg Config 4 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1622507256, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:5 msg Config 5 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1626881246, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:8 msg Config 5 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1630250239, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:11 msg Config 6 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1633128234, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:16 msg Config 6 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1637659230, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:19 msg Config 7 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1641027226, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:22 msg Config 7 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1643887211, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:26 msg Config 8 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1647756248, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:30 msg Config 8 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1652118239, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:33 msg Config 9 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1654988234, rssi=-96, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:37 msg Config 9 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1658853232, rssi=-95, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:41 msg Config 10 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1663226222, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:45 msg Config 10 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1666788215, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:47 msg Config 11 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1669167231, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:50 msg Config 11 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1672214228, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:54 msg Config 12 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1676089198, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:3:58 msg Config 12 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1680457190, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:4:1 msg Config 13 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1683338207, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:4:6 msg Config 13 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1687712200, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:4:13 msg Config 14 30aea474cbcc 3c71bf877510 stats (rx_timestamp=1694861193, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:4:16 msg Config 13 30aea474cbcc 3c71bf877510 30aea458f354 stats (rx_timestamp=1697599815, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:4:47 msg stop 13 30aea474cbcc 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1728818678, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:4:47 msg stop 13 30aea474cbcc 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1729539670, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:4:48 msg stop 13 30aea474cbcc 3c71bf877510 30aea458f354 1 stats (rx_timestamp=1730332592, rssi=-92, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:4:53 msg stop 13 30aea474cbcc 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1734828650, rssi=-117, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=11, tx_frequency=868000000)
28/7/2020 12:4:54 msg stop 13 30aea474cbcc 3c71bf877510 30aea458f354 1 stats (rx_timestamp=1735711588, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=11, tx_frequency=868000000)
28/7/2020 12:5:3 msg Hello 2 3c71bf877510 stats (rx_timestamp=1745533581, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=12, tx_frequency=868000000)
28/7/2020 12:5:8 msg Hello 2 3c71bf877510 stats (rx_timestamp=1750469569, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=12, tx_frequency=868000000)
28/7/2020 12:5:12 msg Hello 2 3c71bf877510 stats (rx_timestamp=1753885569, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=12, tx_frequency=868000000)
28/7/2020 12:5:16 msg Hello 2 3c71bf877510 stats (rx_timestamp=1757613563, rssi=-91, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=12, tx_frequency=868000000)
28/7/2020 12:5:19 msg Hello 3 3c71bf877510 stats (rx_timestamp=1761054563, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=12, tx_frequency=868000000)
28/7/2020 12:5:22 msg Hello 3 3c71bf877510 stats (rx_timestamp=1764479553, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=12, tx_frequency=868000000)
28/7/2020 12:5:30 msg Hello 3 3c71bf877510 stats (rx_timestamp=1771837540, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=12, tx_frequency=868000000)
28/7/2020 12:5:32 msg Discover normal 4 30aea458f354 stats (rx_timestamp=1774372770, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=12, tx_frequency=868000000)
28/7/2020 12:5:33 msg Hello 4 3c71bf877510 stats (rx_timestamp=1774965537, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=124, tx_counter=12, tx_frequency=868000000)
28/7/2020 12:5:37 msg Hello 4 3c71bf877510 stats (rx_timestamp=1779143535, rssi=-93, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=13, tx_frequency=868000000)
28/7/2020 12:5:40 msg Hello 4 3c71bf877510 stats (rx_timestamp=1782317528, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=13, tx_frequency=868000000)
28/7/2020 12:5:42 msg Discover normal 4 30aea458f354 stats (rx_timestamp=1784537721, rssi=-126, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=13, tx_frequency=868000000)
28/7/2020 12:5:44 msg Hello 4 3c71bf877510 stats (rx_timestamp=1786545532, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=14, tx_frequency=868000000)
28/7/2020 12:5:47 msg Hello 5 3c71bf877510 stats (rx_timestamp=1788952515, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=14, tx_frequency=868000000)
28/7/2020 12:5:50 msg Hello 5 3c71bf877510 stats (rx_timestamp=1792442514, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=14, tx_frequency=868000000)
28/7/2020 12:5:55 msg Hello 5 3c71bf877510 stats (rx_timestamp=1797328505, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=14, tx_frequency=868000000)
28/7/2020 12:5:58 msg Hello 5 3c71bf877510 stats (rx_timestamp=1800028498, rssi=-91, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=14, tx_frequency=868000000)
28/7/2020 12:6:1 msg Discover normal 6 30aea458f354 stats (rx_timestamp=1803031683, rssi=-123, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=14, tx_frequency=868000000)
28/7/2020 12:6:3 msg Hello 6 3c71bf877510 stats (rx_timestamp=1804821488, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=15, tx_frequency=868000000)
28/7/2020 12:6:5 msg Discover normal 6 30aea458f354 stats (rx_timestamp=1806587667, rssi=-125, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=15, tx_frequency=868000000)
28/7/2020 12:6:5 msg Hello 6 3c71bf877510 stats (rx_timestamp=1807184489, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=15, tx_frequency=868000000)
28/7/2020 12:6:10 msg Hello 6 3c71bf877510 stats (rx_timestamp=1811912480, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=16, tx_frequency=868000000)
