dencia 822 stats (rx_timestamp=2351314732, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=822, tx_frequency=868000000)
28/7/2020 9:29:2 msg Discover normal 10 30aea458f354 stats (rx_timestamp=2578615225, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=875, tx_frequency=868000000)
28/7/2020 9:29:6 msg Discover normal 10 30aea458f354 stats (rx_timestamp=2586503235, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=876, tx_frequency=868000000)
28/7/2020 9:29:10 msg Discover normal 10 30aea458f354 stats (rx_timestamp=2590338237, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=877, tx_frequency=868000000)
28/7/2020 9:29:14 msg Discover normal 10 30aea458f354 stats (rx_timestamp=2594038312, rssi=-108, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=878, tx_frequency=868000000)
28/7/2020 9:29:17 msg Discover normal 11 30aea458f354 stats (rx_timestamp=2597916321, rssi=-108, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=879, tx_frequency=868000000)
28/7/2020 9:29:21 msg Discover normal 11 30aea458f354 stats (rx_timestamp=2601391326, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=880, tx_frequency=868000000)
28/7/2020 9:29:25 msg Discover normal 11 30aea458f354 stats (rx_timestamp=2605101333, rssi=-108, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=881, tx_frequency=868000000)
28/7/2020 9:29:28 msg Discover normal 11 30aea458f354 stats (rx_timestamp=2607817338, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=882, tx_frequency=868000000)
28/7/2020 9:29:32 msg Discover normal 12 30aea458f354 stats (rx_timestamp=2612526344, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=883, tx_frequency=868000000)
28/7/2020 9:29:36 msg Discover normal 12 30aea458f354 stats (rx_timestamp=2615429354, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=884, tx_frequency=868000000)
28/7/2020 9:29:40 msg Discover normal 12 30aea458f354 stats (rx_timestamp=2619151355, rssi=-106, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=885, tx_frequency=868000000)
28/7/2020 9:29:43 msg Discover normal 12 30aea458f354 stats (rx_timestamp=2623864365, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=886, tx_frequency=868000000)
28/7/2020 9:29:47 msg Discover normal 13 30aea458f354 stats (rx_timestamp=2626729371, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=887, tx_frequency=868000000)
28/7/2020 9:29:51 msg Discover normal 13 30aea458f354 stats (rx_timestamp=2630444379, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=888, tx_frequency=868000000)
28/7/2020 9:29:55 msg Discover normal 13 30aea458f354 stats (rx_timestamp=2635333383, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=889, tx_frequency=868000000)
28/7/2020 9:29:58 msg Discover normal 13 30aea458f354 stats (rx_timestamp=2637870393, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=890, tx_frequency=868000000)
28/7/2020 9:30:2 msg Discover next 12 0 stats (rx_timestamp=2642564398, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=891, tx_frequency=868000000)
28/7/2020 9:30:8 msg Discover next 12 0 stats (rx_timestamp=2642564398, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=892, tx_frequency=868000000)
28/7/2020 9:30:14 msg Discover next 12 0 stats (rx_timestamp=2651862416, rssi=-104, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=893, tx_frequency=868000000)
28/7/2020 9:30:20 msg Discover next 12 0 stats (rx_timestamp=2658037431, rssi=-105, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=894, tx_frequency=868000000)
28/7/2020 9:30:29 msg Hello 2 30aea458f354 stats (rx_timestamp=2669258749, rssi=-115, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=895, tx_frequency=868000000)
28/7/2020 9:30:34 msg Hello 2 30aea458f354 stats (rx_timestamp=2675307799, rssi=-113, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=896, tx_frequency=868000000)
28/7/2020 9:30:38 msg Hello 3 30aea458f354 stats (rx_timestamp=2678439811, rssi=-113, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=897, tx_frequency=868000000)
28/7/2020 9:30:41 msg Hello 3 30aea458f354 stats (rx_timestamp=2681585814, rssi=-113, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=898, tx_frequency=868000000)
28/7/2020 9:30:44 msg Hello 3 30aea458f354 stats (rx_timestamp=2685050816, rssi=-113, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=899, tx_frequency=868000000)
28/7/2020 9:30:47 msg Hello 3 30aea458f354 stats (rx_timestamp=2688586820, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=900, tx_frequency=868000000)
28/7/2020 9:30:50 msg Hello 4 30aea458f354 stats (rx_timestamp=2691952831, rssi=-113, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=901, tx_frequency=868000000)
28/7/2020 9:30:55 msg Hello 4 30aea458f354 stats (rx_timestamp=2695315836, rssi=-112, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=902, tx_frequency=868000000)
