------------------------
15/9/2020 0:15:42 msg Discover normal 11 30aea458f354 stats (rx_timestamp=942115692, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=230, tx_frequency=868000000)
15/9/2020 0:15:45 msg Discover normal 12 30aea458f354 stats (rx_timestamp=944781688, rssi=-97, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=231, tx_frequency=868000000)
15/9/2020 0:15:47 msg Discover normal 12 30aea458f354 stats (rx_timestamp=947450694, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=232, tx_frequency=868000000)
15/9/2020 0:15:50 msg Discover normal 12 30aea458f354 stats (rx_timestamp=951127688, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=233, tx_frequency=868000000)
15/9/2020 0:15:53 msg Discover normal 12 30aea458f354 stats (rx_timestamp=953796685, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=234, tx_frequency=868000000)
15/9/2020 0:15:55 msg Discover normal 13 30aea458f354 stats (rx_timestamp=953796685, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=235, tx_frequency=868000000)
15/9/2020 0:15:58 msg Discover normal 13 30aea458f354 stats (rx_timestamp=958146677, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=236, tx_frequency=868000000)
15/9/2020 0:16:1 msg Discover normal 13 30aea458f354 stats (rx_timestamp=961803679, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=237, tx_frequency=868000000)
15/9/2020 0:16:3 msg Discover normal 13 30aea458f354 stats (rx_timestamp=964473676, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=238, tx_frequency=868000000)
15/9/2020 0:16:6 msg Discover next 14 1 stats (rx_timestamp=966167677, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=98, tx_counter=239, tx_frequency=868000000)
15/9/2020 0:16:11 msg Discover next 14 1 stats (rx_timestamp=969785669, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=240, tx_frequency=868000000)
15/9/2020 0:16:18 msg Hello 2 30aea458f354 stats (rx_timestamp=979290965, rssi=-99, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=241, tx_frequency=868000000)
15/9/2020 0:16:20 msg Hello 2 30aea458f354 stats (rx_timestamp=981975962, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=242, tx_frequency=868000000)
15/9/2020 0:16:23 msg Hello 3 30aea458f354 stats (rx_timestamp=984651958, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=243, tx_frequency=868000000)
15/9/2020 0:16:25 msg Hello 3 30aea458f354 stats (rx_timestamp=987326962, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=244, tx_frequency=868000000)
