------------------------
15/9/2020 0:15:56 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=958146677, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=236, tx_frequency=868000000)
15/9/2020 0:15:59 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=961803679, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=237, tx_frequency=868000000)
15/9/2020 0:16:2 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=964473676, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=238, tx_frequency=868000000)
15/9/2020 0:16:4 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=966167677, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=239, tx_frequency=868000000)
15/9/2020 0:16:7 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=969785669, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=240, tx_frequency=868000000)
15/9/2020 0:16:12 msg Discover normal 2 3c71bf875fa8 stats (rx_timestamp=973951964, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=241, tx_frequency=868000000)
15/9/2020 0:16:14 msg Discover normal 2 3c71bf875fa8 stats (rx_timestamp=976620966, rssi=-98, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=241, tx_frequency=868000000)
15/9/2020 0:16:17 msg Discover normal 2 3c71bf875fa8 stats (rx_timestamp=979290965, rssi=-99, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=241, tx_frequency=868000000)
15/9/2020 0:16:20 msg Discover normal 2 3c71bf875fa8 stats (rx_timestamp=981975962, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=242, tx_frequency=868000000)
15/9/2020 0:16:22 msg Discover normal 3 3c71bf875fa8 stats (rx_timestamp=984651958, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=243, tx_frequency=868000000)
