rx_timestamp=2793744613, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:3:4 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3095732739, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:3:7 msg Config 14 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3099196742, rssi=-117, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:3:11 msg Config 14 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3102850722, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:3:47 msg Config 7 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3138654586, rssi=-126, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:3:58 msg Config 9 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3149533555, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:4:1 msg Config 9 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3152983547, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:4:4 msg Config 10 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3155954618, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:4:8 msg Config 10 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3160077612, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:4:12 msg Config 11 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3164038555, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:4:17 msg Config 11 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3168484547, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
