------------------------
27/7/2020 9:36:57 msg Discover normal 13 30aea458f354 stats (rx_timestamp=236867264, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=52, tx_frequency=868000000)
27/7/2020 9:37:1 msg Discover normal 13 30aea458f354 stats (rx_timestamp=241200562, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=53, tx_frequency=868000000)
27/7/2020 9:37:5 msg Discover normal 13 30aea458f354 stats (rx_timestamp=245205299, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=54, tx_frequency=868000000)
27/7/2020 9:37:9 msg Discover next 12 1 stats (rx_timestamp=248574593, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=55, tx_frequency=868000000)
27/7/2020 9:37:16 msg Discover next 12 1 stats (rx_timestamp=255983967, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=56, tx_frequency=868000000)
27/7/2020 9:37:25 msg Hello 2 30aea458f354 stats (rx_timestamp=265526994, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=57, tx_frequency=868000000)
27/7/2020 9:37:27 msg Hello 2 30aea458f354 stats (rx_timestamp=268767998, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=58, tx_frequency=868000000)
27/7/2020 9:37:31 msg Hello 3 30aea458f354 stats (rx_timestamp=272017010, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=59, tx_frequency=868000000)
27/7/2020 9:37:34 msg Hello 3 30aea458f354 stats (rx_timestamp=275441024, rssi=-109, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=60, tx_frequency=868000000)
27/7/2020 9:37:38 msg Hello 3 30aea458f354 stats (rx_timestamp=278657513, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=61, tx_frequency=868000000)
27/7/2020 9:37:46 msg Hello 3 30aea458f354 stats (rx_timestamp=286873686, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=62, tx_frequency=868000000)
27/7/2020 9:39:2 msg Hello 8 30aea458f354 stats (rx_timestamp=363484859, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=63, tx_frequency=868000000)
27/7/2020 9:39:8 msg Hello 8 30aea458f354 stats (rx_timestamp=369647111, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=64, tx_frequency=868000000)
27/7/2020 9:39:12 msg Hello 8 30aea458f354 stats (rx_timestamp=373605892, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=65, tx_frequency=868000000)
27/7/2020 9:39:27 msg Hello 9 30aea458f354 stats (rx_timestamp=387539916, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=83, tx_counter=66, tx_frequency=868000000)
27/7/2020 9:39:30 msg Hello 10 30aea458f354 stats (rx_timestamp=390318197, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=83, tx_counter=67, tx_frequency=868000000)
27/7/2020 9:39:32 msg Hello 10 30aea458f354 stats (rx_timestamp=393885207, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=83, tx_counter=68, tx_frequency=868000000)
27/7/2020 9:39:37 msg Hello 10 30aea458f354 stats (rx_timestamp=397449216, rssi=-123, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=83, tx_counter=69, tx_frequency=868000000)
27/7/2020 9:39:41 msg Hello 10 30aea458f354 stats (rx_timestamp=402777947, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=83, tx_counter=70, tx_frequency=868000000)
27/7/2020 9:39:43 msg Hello 11 30aea458f354 stats (rx_timestamp=404735246, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=83, tx_counter=71, tx_frequency=868000000)
27/7/2020 9:39:48 msg Hello 11 30aea458f354 stats (rx_timestamp=408291253, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=83, tx_counter=72, tx_frequency=868000000)
27/7/2020 9:39:52 msg Hello 11 30aea458f354 stats (rx_timestamp=412611978, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=83, tx_counter=73, tx_frequency=868000000)
27/7/2020 9:39:54 msg Hello 11 30aea458f354 stats (rx_timestamp=415343277, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=83, tx_counter=74, tx_frequency=868000000)
27/7/2020 9:40:1 msg Hello 12 30aea458f354 stats (rx_timestamp=422222300, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=75, tx_frequency=868000000)
27/7/2020 9:40:5 msg Hello 12 30aea458f354 stats (rx_timestamp=425940312, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=76, tx_frequency=868000000)
27/7/2020 9:40:7 msg Hello 12 30aea458f354 stats (rx_timestamp=427769018, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=77, tx_frequency=868000000)
27/7/2020 9:40:11 msg Hello 12 30aea458f354 stats (rx_timestamp=431287017, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=78, tx_frequency=868000000)
27/7/2020 9:40:15 msg Hello 13 30aea458f354 stats (rx_timestamp=436793343, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=79, tx_frequency=868000000)
