------------------------
------------------------
20/8/2020 9:36:12 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=2773841744, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1127, tx_frequency=868000000)
20/8/2020 9:36:15 msg Discover normal 13 30aea474cbcc stats (rx_timestamp=2777361135, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=1127, tx_frequency=868000000)
20/8/2020 9:36:16 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=2778207758, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=1127, tx_frequency=868000000)
20/8/2020 9:36:19 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=2780824764, rssi=-120, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=1128, tx_frequency=868000000)
20/8/2020 9:36:22 msg Discover normal 13 30aea474cbcc stats (rx_timestamp=2784447151, rssi=-120, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=1128, tx_frequency=868000000)
20/8/2020 9:36:26 msg Discover end 12 1 stats (rx_timestamp=2788033637, rssi=-122, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=1129, tx_frequency=868000000)
20/8/2020 9:36:28 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=2789711777, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=1129, tx_frequency=868000000)
20/8/2020 9:36:29 msg Discover end 12 2 stats (rx_timestamp=2791287563, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=1129, tx_frequency=868000000)
20/8/2020 9:36:35 msg Discover end 12 2 stats (rx_timestamp=2796650575, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=78, tx_counter=1130, tx_frequency=868000000)
20/8/2020 9:36:38 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=2800451609, rssi=-113, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=78, tx_counter=1132, tx_frequency=868000000)
20/8/2020 9:37:41 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=2863440719, rssi=-114, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=1149, tx_frequency=868000000)
20/8/2020 9:38:42 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=2923613832, rssi=-115, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=1165, tx_frequency=868000000)
20/8/2020 9:39:42 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=2983885945, rssi=-114, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=1181, tx_frequency=868000000)
20/8/2020 9:40:40 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=3042386053, rssi=-114, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=1196, tx_frequency=868000000)
20/8/2020 9:41:42 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=3103491163, rssi=-113, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=1212, tx_frequency=868000000)
20/8/2020 9:42:43 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=3165427285, rssi=-114, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=1229, tx_frequency=868000000)
20/8/2020 9:43:48 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=3229636406, rssi=-115, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=1246, tx_frequency=868000000)
20/8/2020 9:44:45 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=3287071506, rssi=-115, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=1261, tx_frequency=868000000)
20/8/2020 9:45:48 msg Token 30aea458f354 3c71bf875fa8 30aea458f354 stats (rx_timestamp=3350293632, rssi=-115, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=1278, tx_frequency=868000000)
------------------------
