27/7/2020 11:8:22 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=510685833, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:8:26 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=515571867, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:8:30 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=519345899, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:8:34 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=523360918, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:8:37 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=526056943, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:8:41 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=530546967, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:8:45 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=534261995, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:9:55 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=604165488, rssi=-116, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:9:59 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=607860505, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:10:2 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=611347529, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:10:5 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=614543551, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:10:10 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=618910582, rssi=-111, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:10:14 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=622872614, rssi=-112, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:10:18 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=627564639, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:10:22 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=631252666, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:11:35 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=704527182, rssi=-116, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:11:49 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=718018276, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:11:53 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=721853296, rssi=-112, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:11:56 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=724812331, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:12:0 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=728995349, rssi=-112, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:12:5 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=733718386, rssi=-111, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:13:34 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=823632004, rssi=-114, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:13:40 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=828817044, rssi=-114, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:14:55 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=903809559, rssi=-114, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:14:59 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=907988586, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:15:3 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=912443619, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:15:7 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=916131641, rssi=-112, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:15:11 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=919803671, rssi=-111, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:16:27 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=996158192, rssi=-114, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:16:30 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=998788220, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:16:32 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1001261228, rssi=-114, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:16:35 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1003727247, rssi=-115, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:16:37 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1006442267, rssi=-114, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:16:40 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1008911282, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:17:55 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1084051803, rssi=-115, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:18:0 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1088903843, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:18:3 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1092592861, rssi=-113, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:18:6 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1095561882, rssi=-116, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:19:30 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1178663451, rssi=-115, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:20:25 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1233882798, rssi=-118, snr=-9.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:20:29 msg stop 10 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1238237827, rssi=-117, snr=-8.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:20:32 msg stop 10 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1240723881, rssi=-114, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:20:34 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1243453906, rssi=-115, snr=-7.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:20:37 msg stop 11 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1245958920, rssi=-114, snr=-6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:20:42 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1250654950, rssi=-114, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:20:45 msg stop 12 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1254138975, rssi=-112, snr=-4.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:20:49 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1257835006, rssi=-113, snr=-5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:20:52 msg stop 13 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1260815021, rssi=-112, snr=-4.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 11:20:54 msg stop 14 30aea474cbcc 30aea458f2e4 3c71bf877510 30aea458f354 2 stats (rx_timestamp=1263516044, rssi=-112, snr=-4.0, sfrx=7, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
