y=868000000)
27/7/2020 20:24:21 msg Discover next 12 2 stats (rx_timestamp=3802884036, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:24:32 msg Discover next 12 2 stats (rx_timestamp=3814157979, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:24:38 msg Discover next 12 2 stats (rx_timestamp=3819808943, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:24:43 msg Discover next 12 2 stats (rx_timestamp=3825426906, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:24:49 msg Discover next 12 2 stats (rx_timestamp=3831267875, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:24:55 msg Discover next 12 2 stats (rx_timestamp=3836892839, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:25:0 msg Discover next 12 2 stats (rx_timestamp=3842521811, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:25:6 msg Discover next 12 2 stats (rx_timestamp=3848155780, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:25:12 msg Discover next 12 2 stats (rx_timestamp=3853801744, rssi=-111, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:25:17 msg Discover next 12 2 stats (rx_timestamp=3859452716, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:25:23 msg Discover next 12 2 stats (rx_timestamp=3865095684, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:25:29 msg Discover next 12 2 stats (rx_timestamp=3870750648, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:25:34 msg Discover next 12 2 stats (rx_timestamp=3876401617, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:25:40 msg Discover next 12 2 stats (rx_timestamp=3881998589, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:25:46 msg Discover next 12 2 stats (rx_timestamp=3887834551, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:25:51 msg Discover next 12 2 stats (rx_timestamp=3893488523, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:25:57 msg Discover next 12 2 stats (rx_timestamp=3899139491, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:26:3 msg Discover next 12 2 stats (rx_timestamp=3904794456, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:26:8 msg Discover next 12 2 stats (rx_timestamp=3910405424, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:26:14 msg Discover next 12 2 stats (rx_timestamp=3916060387, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:26:19 msg Discover next 12 2 stats (rx_timestamp=3921714364, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:26:25 msg Discover next 12 2 stats (rx_timestamp=3927369329, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:26:31 msg Discover next 12 2 stats (rx_timestamp=3933024296, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:26:36 msg Discover next 12 2 stats (rx_timestamp=3938679267, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:26:42 msg Discover next 12 2 stats (rx_timestamp=3944316239, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:26:48 msg Discover next 12 2 stats (rx_timestamp=3950157195, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:26:54 msg Discover next 12 2 stats (rx_timestamp=3955813159, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:26:59 msg Discover next 12 2 stats (rx_timestamp=3961392131, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
27/7/2020 20:27:5 msg Discover next 12 2 stats (rx_timestamp=3967000099, rssi=-113, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=165, tx_frequency=868000000)
