------------------------
------------------------
------------------------
29/7/2020 11:37:5 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=187565607, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=48, tx_frequency=868000000)
29/7/2020 11:37:6 msg Hello 12 30aea474cbcc stats (rx_timestamp=187994226, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=48, tx_frequency=868000000)
29/7/2020 11:37:10 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=191881604, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=49, tx_frequency=868000000)
29/7/2020 11:37:10 msg Hello 13 30aea474cbcc stats (rx_timestamp=192296218, rssi=-114, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=49, tx_frequency=868000000)
29/7/2020 11:37:12 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=194365599, rssi=-119, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=50, tx_frequency=868000000)
29/7/2020 11:37:13 msg Hello 13 30aea474cbcc stats (rx_timestamp=194784218, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=50, tx_frequency=868000000)
29/7/2020 11:37:16 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=198520603, rssi=-119, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=51, tx_frequency=868000000)
29/7/2020 11:37:18 msg Hello 13 30aea474cbcc stats (rx_timestamp=199948216, rssi=-114, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=51, tx_frequency=868000000)
29/7/2020 11:37:19 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=201027604, rssi=-117, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=52, tx_frequency=868000000)
29/7/2020 11:37:19 msg Hello 13 30aea474cbcc stats (rx_timestamp=201460210, rssi=-115, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=52, tx_frequency=868000000)
29/7/2020 11:37:22 msg Discover normal 2 3c71bf875fa8 stats (rx_timestamp=204418901, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=53, tx_frequency=868000000)
29/7/2020 11:37:25 msg Discover normal 2 3c71bf875fa8 stats (rx_timestamp=207281905, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=53, tx_frequency=868000000)
29/7/2020 11:37:28 msg Discover normal 2 3c71bf875fa8 stats (rx_timestamp=210520903, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=83, tx_counter=53, tx_frequency=868000000)
