0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=3, tx_frequency=868000000)
29/7/2020 11:35:31 msg Discover normal 5 30aea458f2e4 stats (rx_timestamp=90812566, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=17, tx_frequency=868000000)
29/7/2020 11:35:34 msg Discover normal 5 30aea458f2e4 stats (rx_timestamp=94892569, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=18, tx_frequency=868000000)
29/7/2020 11:35:37 msg Discover normal 5 30aea458f2e4 stats (rx_timestamp=96973564, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=98, tx_counter=19, tx_frequency=868000000)
29/7/2020 11:35:40 msg Discover normal 6 30aea458f2e4 stats (rx_timestamp=101054560, rssi=-120, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=20, tx_frequency=868000000)
29/7/2020 11:35:43 msg Discover normal 6 30aea458f2e4 stats (rx_timestamp=104137560, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=21, tx_frequency=868000000)
29/7/2020 11:35:46 msg Discover normal 6 30aea458f2e4 stats (rx_timestamp=106256562, rssi=-117, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=22, tx_frequency=868000000)
29/7/2020 11:35:49 msg Discover normal 6 30aea458f2e4 stats (rx_timestamp=109304558, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=98, tx_counter=23, tx_frequency=868000000)
29/7/2020 11:35:53 msg Discover normal 7 30aea458f2e4 stats (rx_timestamp=112730561, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=24, tx_frequency=868000000)
29/7/2020 11:35:56 msg Discover normal 7 30aea458f2e4 stats (rx_timestamp=116832558, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=25, tx_frequency=868000000)
29/7/2020 11:35:59 msg Discover normal 7 30aea458f2e4 stats (rx_timestamp=118896555, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=26, tx_frequency=868000000)
