------------------------
27/7/2020 11:3:59 msg Hay buena cobertura de sensor 2 parc bit21 stats (rx_timestamp=244216998, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=21, tx_frequency=868000000)
27/7/2020 11:4:10 msg Hay buena cobertura de sensor 2 parc bit22 stats (rx_timestamp=254704899, rssi=-112, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=22, tx_frequency=868000000)
27/7/2020 11:4:22 msg Hay buena cobertura de sensor 2 parc bit23 stats (rx_timestamp=268207824, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=23, tx_frequency=868000000)
27/7/2020 11:4:33 msg Hay buena cobertura de sensor 2 parc bit24 stats (rx_timestamp=278858743, rssi=-113, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=24, tx_frequency=868000000)
27/7/2020 11:4:44 msg Hay buena cobertura de sensor 2 parc bit25 stats (rx_timestamp=286765624, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=25, tx_frequency=868000000)
27/7/2020 11:4:55 msg Hay buena cobertura de sensor 2 parc bit26 stats (rx_timestamp=300954587, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=26, tx_frequency=868000000)
27/7/2020 11:5:6 msg Hay buena cobertura de sensor 2 parc bit27 stats (rx_timestamp=312202481, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=27, tx_frequency=868000000)
27/7/2020 11:5:17 msg Hay buena cobertura de sensor 2 parc bit28 stats (rx_timestamp=323626419, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=28, tx_frequency=868000000)
27/7/2020 11:5:29 msg Hay buena cobertura de sensor 2 parc bit29 stats (rx_timestamp=334567319, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=29, tx_frequency=868000000)
27/7/2020 11:5:40 msg Hay buena cobertura de sensor 2 parc bit30 stats (rx_timestamp=345778236, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=30, tx_frequency=868000000)
27/7/2020 11:5:52 msg Hay buena cobertura de sensor 2 parc bit31 stats (rx_timestamp=357365179, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=31, tx_frequency=868000000)
