=4, tx_time_on_air=103, tx_counter=615, tx_frequency=868000000)
29/7/2020 11:30:23 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=674, tx_frequency=868000000)
29/7/2020 11:30:26 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=675, tx_frequency=868000000)
29/7/2020 11:30:30 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=676, tx_frequency=868000000)
29/7/2020 11:30:32 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=677, tx_frequency=868000000)
29/7/2020 11:30:35 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=103, tx_counter=678, tx_frequency=868000000)
29/7/2020 11:30:38 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=108, tx_counter=679, tx_frequency=868000000)
29/7/2020 11:30:42 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=680, tx_frequency=868000000)
29/7/2020 11:30:45 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=681, tx_frequency=868000000)
29/7/2020 11:30:49 msg Config 12 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=108, tx_counter=682, tx_frequency=868000000)
29/7/2020 11:30:52 msg Config 12 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=108, tx_counter=683, tx_frequency=868000000)
