15/9/2020 0:27:26 msg Discover normal 9 30aea458f354 stats (rx_timestamp=1653117674, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=185, tx_frequency=868000000)
15/9/2020 0:27:29 msg Discover normal 9 30aea458f354 stats (rx_timestamp=1655784678, rssi=-93, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=186, tx_frequency=868000000)
15/9/2020 0:27:31 msg Discover normal 9 30aea458f354 stats (rx_timestamp=1658462766, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=187, tx_frequency=868000000)
15/9/2020 0:27:34 msg Discover normal 10 30aea458f354 stats (rx_timestamp=1661130766, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=188, tx_frequency=868000000)
15/9/2020 0:27:37 msg Discover normal 10 30aea458f354 stats (rx_timestamp=1663801772, rssi=-91, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=189, tx_frequency=868000000)
15/9/2020 0:27:39 msg Discover normal 10 30aea458f354 stats (rx_timestamp=1666468762, rssi=-91, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=190, tx_frequency=868000000)
15/9/2020 0:27:42 msg Discover normal 10 30aea458f354 stats (rx_timestamp=1669184780, rssi=-91, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=191, tx_frequency=868000000)
15/9/2020 0:27:45 msg Discover normal 11 30aea458f354 stats (rx_timestamp=1671856776, rssi=-89, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=192, tx_frequency=868000000)
15/9/2020 0:27:47 msg Discover normal 11 30aea458f354 stats (rx_timestamp=1674523771, rssi=-91, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=193, tx_frequency=868000000)
15/9/2020 0:27:50 msg Discover normal 11 30aea458f354 stats (rx_timestamp=1677194772, rssi=-89, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=194, tx_frequency=868000000)
15/9/2020 0:27:53 msg Discover normal 11 30aea458f354 stats (rx_timestamp=1679870789, rssi=-88, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=195, tx_frequency=868000000)
15/9/2020 0:27:55 msg Discover normal 12 30aea458f354 stats (rx_timestamp=1682544781, rssi=-89, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=196, tx_frequency=868000000)
15/9/2020 0:27:58 msg Discover normal 12 30aea458f354 stats (rx_timestamp=1685214787, rssi=-89, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=197, tx_frequency=868000000)
