29/7/2020 9:21:55 msg Hello 8 30aea458f354 stats (rx_timestamp=1084194885, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:21:57 msg Discover normal 8 30aea474cbcc stats (rx_timestamp=1086438022, rssi=-111, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:21:58 msg Hello 8 30aea458f354 stats (rx_timestamp=1087544894, rssi=-95, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:1 msg Discover normal 8 30aea474cbcc stats (rx_timestamp=1089788030, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:2 msg Hello 8 30aea458f354 stats (rx_timestamp=1090917907, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:4 msg Discover normal 9 30aea474cbcc stats (rx_timestamp=1093161039, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:5 msg Hello 8 30aea458f354 stats (rx_timestamp=1094280914, rssi=-94, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:6 msg Discover normal 9 30aea474cbcc stats (rx_timestamp=1095529034, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:9 msg Hello 9 30aea458f354 stats (rx_timestamp=1097816922, rssi=-92, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:10 msg Discover normal 9 30aea474cbcc stats (rx_timestamp=1099062040, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:12 msg Hello 9 30aea458f354 stats (rx_timestamp=1101171938, rssi=-92, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:14 msg Discover normal 9 30aea474cbcc stats (rx_timestamp=1103596047, rssi=-110, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:15 msg Hello 9 30aea458f354 stats (rx_timestamp=1104553966, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:18 msg Discover normal 10 30aea474cbcc stats (rx_timestamp=1106798055, rssi=-109, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:19 msg Hello 9 30aea458f354 stats (rx_timestamp=1107927975, rssi=-91, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
29/7/2020 9:22:21 msg Discover normal 10 30aea474cbcc stats (rx_timestamp=1110174061, rssi=-109, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=70, tx_frequency=868000000)
