------------------------
29/7/2020 9:9:11 msg Hay buena cobertura de mateu orfila sensor 1 27 stats (rx_timestamp=317360279, rssi=-105, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=27, tx_frequency=868000000)
29/7/2020 9:9:22 msg Hay buena cobertura de mateu orfila sensor 1 28 stats (rx_timestamp=328236347, rssi=-105, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=28, tx_frequency=868000000)
29/7/2020 9:9:33 msg Hay buena cobertura de mateu orfila sensor 1 29 stats (rx_timestamp=339781374, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=29, tx_frequency=868000000)
29/7/2020 9:9:45 msg Hay buena cobertura de mateu orfila sensor 1 30 stats (rx_timestamp=353391403, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=30, tx_frequency=868000000)
29/7/2020 9:9:56 msg Hay buena cobertura de mateu orfila sensor 1 31 stats (rx_timestamp=362600382, rssi=-105, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=31, tx_frequency=868000000)
29/7/2020 9:10:8 msg Hay buena cobertura de mateu orfila sensor 1 32 stats (rx_timestamp=374198443, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=32, tx_frequency=868000000)
29/7/2020 9:10:19 msg Hay buena cobertura de mateu orfila sensor 1 33 stats (rx_timestamp=385614469, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=33, tx_frequency=868000000)
29/7/2020 9:10:30 msg Hay buena cobertura de mateu orfila sensor 1 34 stats (rx_timestamp=397197454, rssi=-105, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=34, tx_frequency=868000000)
29/7/2020 9:10:41 msg Hay buena cobertura de mateu orfila sensor 1 35 stats (rx_timestamp=408074475, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=35, tx_frequency=868000000)
29/7/2020 9:10:53 msg Hay buena cobertura de mateu orfila sensor 1 36 stats (rx_timestamp=420355545, rssi=-104, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=36, tx_frequency=868000000)
29/7/2020 9:11:4 msg Hay buena cobertura de mateu orfila sensor 1 37 stats (rx_timestamp=431232573, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=37, tx_frequency=868000000)
29/7/2020 9:11:15 msg Hay buena cobertura de mateu orfila sensor 1 38 stats (rx_timestamp=442111554, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=38, tx_frequency=868000000)
29/7/2020 9:11:27 msg Hay buena cobertura de mateu orfila sensor 1 39 stats (rx_timestamp=455888630, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=39, tx_frequency=868000000)
29/7/2020 9:11:38 msg Hay buena cobertura de mateu orfila sensor 1 40 stats (rx_timestamp=467203646, rssi=-105, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=40, tx_frequency=868000000)
29/7/2020 9:11:50 msg Hay buena cobertura de mateu orfila sensor 1 41 stats (rx_timestamp=478549674, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=41, tx_frequency=868000000)
29/7/2020 9:12:1 msg Hay buena cobertura de mateu orfila sensor 1 42 stats (rx_timestamp=489913698, rssi=-105, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=42, tx_frequency=868000000)
29/7/2020 9:12:12 msg Hay buena cobertura de mateu orfila sensor 1 43 stats (rx_timestamp=498760678, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=43, tx_frequency=868000000)
29/7/2020 9:12:24 msg Hay buena cobertura de mateu orfila sensor 1 44 stats (rx_timestamp=512877755, rssi=-105, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=44, tx_frequency=868000000)
29/7/2020 9:12:35 msg Hay buena cobertura de mateu orfila sensor 1 45 stats (rx_timestamp=522174952, rssi=-85, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=45, tx_frequency=868000000)
29/7/2020 9:12:47 msg Hay buena cobertura de mateu orfila sensor 1 46 stats (rx_timestamp=533567754, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=46, tx_frequency=868000000)
29/7/2020 9:12:58 msg Hay buena cobertura de mateu orfila sensor 1 47 stats (rx_timestamp=544915818, rssi=-104, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=47, tx_frequency=868000000)
29/7/2020 9:13:10 msg Hay buena cobertura de mateu orfila sensor 1 48 stats (rx_timestamp=556489845, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=48, tx_frequency=868000000)
29/7/2020 9:13:21 msg Hay buena cobertura de mateu orfila sensor 1 49 stats (rx_timestamp=570036877, rssi=-105, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=49, tx_frequency=868000000)
29/7/2020 9:13:32 msg Hay buena cobertura de mateu orfila sensor 1 50 stats (rx_timestamp=578902893, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=50, tx_frequency=868000000)
29/7/2020 9:13:44 msg Hay buena cobertura de mateu orfila sensor 1 51 stats (rx_timestamp=591320879, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=51, tx_frequency=868000000)
29/7/2020 9:13:56 msg Hay buena cobertura de mateu orfila sensor 1 52 stats (rx_timestamp=602996907, rssi=-103, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=52, tx_frequency=868000000)
29/7/2020 9:14:8 msg Hay buena cobertura de mateu orfila sensor 1 53 stats (rx_timestamp=615152972, rssi=-104, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=53, tx_frequency=868000000)
29/7/2020 9:14:19 msg Hay buena cobertura de mateu orfila sensor 1 54 stats (rx_timestamp=626384953, rssi=-104, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=54, tx_frequency=868000000)
29/7/2020 9:14:31 msg Hay buena cobertura de mateu orfila sensor 1 55 stats (rx_timestamp=637927020, rssi=-102, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=55, tx_frequency=868000000)
29/7/2020 9:14:42 msg Hay buena cobertura de mateu orfila sensor 1 56 stats (rx_timestamp=649316002, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=56, tx_frequency=868000000)
29/7/2020 9:14:53 msg Hay buena cobertura de mateu orfila sensor 1 57 stats (rx_timestamp=660883029, rssi=-104, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=57, tx_frequency=868000000)
29/7/2020 9:15:5 msg Hay buena cobertura de mateu orfila sensor 1 58 stats (rx_timestamp=672698105, rssi=-103, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=58, tx_frequency=868000000)
29/7/2020 9:15:16 msg Hay buena cobertura de mateu orfila sensor 1 59 stats (rx_timestamp=684087124, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=59, tx_frequency=868000000)
29/7/2020 9:15:28 msg Hay buena cobertura de mateu orfila sensor 1 60 stats (rx_timestamp=695759148, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=60, tx_frequency=868000000)
29/7/2020 9:15:40 msg Hay buena cobertura de mateu orfila sensor 1 61 stats (rx_timestamp=707810175, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=61, tx_frequency=868000000)
29/7/2020 9:15:51 msg Hay buena cobertura de mateu orfila sensor 1 62 stats (rx_timestamp=718176917, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=62, tx_frequency=868000000)
29/7/2020 9:16:3 msg Hay buena cobertura de mateu orfila sensor 1 63 stats (rx_timestamp=730698967, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=63, tx_frequency=868000000)
29/7/2020 9:16:16 msg Config 3 30aea474cbcc 3c71bf877510 stats (rx_timestamp=742856422, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=64, tx_frequency=868000000)
29/7/2020 9:16:16 msg Config 3 30aea474cbcc 3c71bf877510 stats (rx_timestamp=742856422, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=65, tx_frequency=868000000)
29/7/2020 9:16:20 msg Config 3 30aea474cbcc 3c71bf877510 stats (rx_timestamp=747610412, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=66, tx_frequency=868000000)
29/7/2020 9:16:21 msg Config 3 30aea474cbcc 3c71bf877510 stats (rx_timestamp=749994429, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=67, tx_frequency=868000000)
29/7/2020 9:16:25 msg Config 5 30aea474cbcc 3c71bf877510 stats (rx_timestamp=752483973, rssi=-117, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=68, tx_frequency=868000000)
29/7/2020 9:16:25 msg Config 3 30aea474cbcc 3c71bf877510 stats (rx_timestamp=752483973, rssi=-117, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=69, tx_frequency=868000000)
------------------------
29/7/2020 9:4:2 msg Hay buena cobertura de mateu orfila sensor 1 0 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=0, tx_trials=0, tx_power=2, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
29/7/2020 9:4:12 msg Hay buena cobertura de mateu orfila sensor 1 1 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=1, tx_frequency=868000000)
