ƒ¿Ã∞Å—·}çΩ’π—ï»Ùÿ‡ƒ∞Å—·}ô…ï≈’ïπç‰Ù‡ÿ‡¿¿¿¿¿¿§(»‡º‹º»¿»¿ÄƒƒËÃ–ËƒƒÅµÕúÅΩπô•úÄƒƒÄÃ¡ÖïÑ–‹—çâçåÄÕå‹≈âò‡‹‹‘ƒ¿ÅÕ—Ö—ÃÄ°…·}—•µïÕ—Öµ¿Ù»Ã‹‰‘–‘»»‹∞Å…ÕÕ§Ù¥ƒƒÃ∞ÅÕπ»Ù¥»∏¿∞ÅÕô…‡Ù‹∞ÅÕô—‡Ù‹∞Å—·}—…•Ö±ÃÙ¿∞Å—·}¡Ω›ï»Ùƒƒ∞Å—·}—•µï}Ωπ}Ö•»Ùƒ¿Ã∞Å—·}çΩ’π—ï»Ùÿ‡»∞Å—·}ô…ï≈’ïπç‰Ù‡ÿ‡¿¿¿¿¿¿§(»‡º‹º»¿»¿ÄƒƒËÃ–Ëƒ‘ÅµÕúÄConfig 11 30aea474cbcc 3c71bf877510 stats (rx_timestamp=2379545227, rssi=-113, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=683, tx_frequency=868000000)
28/7/2020 11:38:58 msg Hello 9 3c71bf877510 stats (rx_timestamp=4145673967, rssi=-104, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=749, tx_frequency=868000000)
28/7/2020 11:39:1 msg Hello 10 3c71bf877510 stats (rx_timestamp=4149821034, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=750, tx_frequency=868000000)
28/7/2020 11:39:4 msg Hello 10 3c71bf877510 stats (rx_timestamp=4153403023, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=751, tx_frequency=868000000)
28/7/2020 11:39:8 msg Hello 10 3c71bf877510 stats (rx_timestamp=4157466011, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=752, tx_frequency=868000000)
28/7/2020 11:39:12 msg Hello 10 3c71bf877510 stats (rx_timestamp=4161415008, rssi=-103, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=753, tx_frequency=868000000)
28/7/2020 11:39:17 msg Hello 11 3c71bf877510 stats (rx_timestamp=4166018986, rssi=-103, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=754, tx_frequency=868000000)
28/7/2020 11:39:21 msg Hello 11 3c71bf877510 stats (rx_timestamp=4170052975, rssi=-103, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=755, tx_frequency=868000000)
28/7/2020 11:39:26 msg Hello 11 3c71bf877510 stats (rx_timestamp=4175034717, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=756, tx_frequency=868000000)
28/7/2020 11:39:29 msg Hello 11 3c71bf877510 stats (rx_timestamp=4177297958, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=757, tx_frequency=868000000)
28/7/2020 11:39:33 msg Hello 12 3c71bf877510 stats (rx_timestamp=4181476947, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=758, tx_frequency=868000000)
28/7/2020 11:39:38 msg Hello 12 3c71bf877510 stats (rx_timestamp=4186263731, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=759, tx_frequency=868000000)
28/7/2020 11:39:41 msg Hello 12 3c71bf877510 stats (rx_timestamp=4190136923, rssi=-102, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=760, tx_frequency=868000000)
28/7/2020 11:39:47 msg Hello 12 3c71bf877510 stats (rx_timestamp=4195605745, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=761, tx_frequency=868000000)
28/7/2020 11:39:49 msg Hello 13 3c71bf877510 stats (rx_timestamp=4197873901, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=762, tx_frequency=868000000)
28/7/2020 11:39:54 msg Hello 13 3c71bf877510 stats (rx_timestamp=4202472749, rssi=-95, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=763, tx_frequency=868000000)
28/7/2020 11:39:57 msg Hello 13 3c71bf877510 stats (rx_timestamp=4206194876, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=764, tx_frequency=868000000)
28/7/2020 11:40:1 msg Hello 13 3c71bf877510 stats (rx_timestamp=4210373870, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=765, tx_frequency=868000000)
28/7/2020 11:40:6 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=4214588409, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=766, tx_frequency=868000000)
28/7/2020 11:40:9 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=4216985752, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=767, tx_frequency=868000000)
28/7/2020 11:40:12 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=4221178387, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=768, tx_frequency=868000000)
28/7/2020 11:40:15 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=4222282760, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=769, tx_frequency=868000000)
28/7/2020 11:40:18 msg Discover normal 3 3c71bf877510 stats (rx_timestamp=4226339758, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=770, tx_frequency=868000000)
28/7/2020 11:40:22 msg Discover normal 3 3c71bf877510 stats (rx_timestamp=4230325447, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=771, tx_frequency=868000000)
28/7/2020 11:40:25 msg Discover normal 3 3c71bf877510 stats (rx_timestamp=4232815770, rssi=-103, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=772, tx_frequency=868000000)
28/7/2020 11:40:28 msg Discover normal 3 3c71bf877510 stats (rx_timestamp=4237030428, rssi=-110, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=773, tx_frequency=868000000)
28/7/2020 11:40:32 msg Discover next 4 0 stats (rx_timestamp=4239493776, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=98, tx_counter=774, tx_frequency=868000000)
28/7/2020 11:40:40 msg Hello 2 3c71bf877510 stats (rx_timestamp=4247922114, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=78, tx_counter=775, tx_frequency=868000000)
28/7/2020 11:40:43 msg Hello 2 3c71bf877510 stats (rx_timestamp=4251554396, rssi=-111, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=776, tx_frequency=868000000)
28/7/2020 11:40:46 msg Hello 3 3c71bf877510 stats (rx_timestamp=4254417165, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=777, tx_frequency=868000000)
28/7/2020 11:40:49 msg Hello 3 3c71bf877510 stats (rx_timestamp=4257776172, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=778, tx_frequency=868000000)
28/7/2020 11:40:52 msg Hello 3 3c71bf877510 stats (rx_timestamp=4261127172, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=779, tx_frequency=868000000)
28/7/2020 11:40:55 msg Hello 3 3c71bf877510 stats (rx_timestamp=4264460177, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=780, tx_frequency=868000000)
28/7/2020 11:40:59 msg Hello 4 3c71bf877510 stats (rx_timestamp=4267780182, rssi=-101, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=781, tx_frequency=868000000)
28/7/2020 11:41:3 msg Hello 4 3c71bf877510 stats (rx_timestamp=4271112190, rssi=-100, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=782, tx_frequency=868000000)
28/7/2020 11:41:6 msg Hello 4 3c71bf877510 stats (rx_timestamp=4274636192, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=783, tx_frequency=868000000)
