------------------------
------------------------
------------------------
20/8/2020 9:22:27 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=908124835, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=113, tx_frequency=868000000)
20/8/2020 9:22:31 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=908124835, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=114, tx_frequency=868000000)
20/8/2020 9:22:35 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=938688797, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=115, tx_frequency=868000000)
20/8/2020 9:22:38 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=938688797, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=116, tx_frequency=868000000)
20/8/2020 9:22:40 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=938688797, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=117, tx_frequency=868000000)
20/8/2020 9:22:43 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=948873720, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=103, tx_counter=118, tx_frequency=868000000)
20/8/2020 9:22:47 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=948873720, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=103, tx_counter=119, tx_frequency=868000000)
20/8/2020 9:22:51 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=948873720, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=120, tx_frequency=868000000)
20/8/2020 9:22:55 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=948873720, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=121, tx_frequency=868000000)
20/8/2020 9:22:58 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=948873720, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=122, tx_frequency=868000000)
20/8/2020 9:23:1 msg Config 9 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=948873720, rssi=-120, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=103, tx_counter=123, tx_frequency=868000000)
20/8/2020 9:23:4 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=969237740, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=103, tx_counter=124, tx_frequency=868000000)
20/8/2020 9:23:9 msg Config 10 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=969237740, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=108, tx_counter=125, tx_frequency=868000000)
20/8/2020 9:23:12 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=977931006, rssi=-125, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=126, tx_frequency=868000000)
20/8/2020 9:23:15 msg Config 11 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=979419647, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=108, tx_counter=127, tx_frequency=868000000)
20/8/2020 9:23:19 msg Config 12 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=979419647, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=108, tx_counter=128, tx_frequency=868000000)
20/8/2020 9:23:24 msg Config 12 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=979419647, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=108, tx_counter=129, tx_frequency=868000000)
20/8/2020 9:23:27 msg Config 13 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=979419647, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=108, tx_counter=130, tx_frequency=868000000)
20/8/2020 9:23:31 msg Config 13 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=979419647, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=108, tx_counter=131, tx_frequency=868000000)
20/8/2020 9:23:33 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=979419647, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=132, tx_frequency=868000000)
20/8/2020 9:23:36 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=979419647, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=133, tx_frequency=868000000)
20/8/2020 9:23:40 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=979419647, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=134, tx_frequency=868000000)
20/8/2020 9:23:43 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=979419647, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=135, tx_frequency=868000000)
20/8/2020 9:23:47 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=979419647, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=108, tx_counter=136, tx_frequency=868000000)
20/8/2020 9:23:49 msg Config 3 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=979419647, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=103, tx_counter=137, tx_frequency=868000000)
20/8/2020 9:23:52 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=979419647, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=138, tx_frequency=868000000)
20/8/2020 9:23:55 msg Config 4 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=1020147686, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=103, tx_counter=139, tx_frequency=868000000)
20/8/2020 9:23:58 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=1020147686, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=140, tx_frequency=868000000)
20/8/2020 9:24:2 msg Config 5 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=1020147686, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=103, tx_counter=141, tx_frequency=868000000)
20/8/2020 9:24:6 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=1030329675, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=142, tx_frequency=868000000)
20/8/2020 9:24:8 msg Config 6 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=1030329675, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=103, tx_counter=143, tx_frequency=868000000)
20/8/2020 9:24:11 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=1030329675, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=103, tx_counter=144, tx_frequency=868000000)
20/8/2020 9:24:13 msg Config 7 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=1030329675, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=103, tx_counter=145, tx_frequency=868000000)
20/8/2020 9:24:15 msg Config 8 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=1030329675, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=146, tx_frequency=868000000)
