20/8/2020 11:35:30 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=326845808, rssi=-124, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:35:33 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=329769418, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:35:40 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=337037762, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:35:41 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=337501366, rssi=-121, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:35:48 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=345045319, rssi=-121, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:35:50 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=347224708, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:35:56 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=352588269, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:36:15 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=371593139, rssi=-121, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:36:26 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=382915063, rssi=-120, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:36:34 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=390451022, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:36:51 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=408358460, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:37:27 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=443550674, rssi=-123, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:37:45 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=462363547, rssi=-122, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:37:53 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=469492227, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:37:53 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=470086497, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:38:12 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=488925381, rssi=-120, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:38:20 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=496464330, rssi=-121, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:38:39 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=515460213, rssi=-122, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:39:1 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=538242059, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:39:14 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=551014930, rssi=-117, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:39:24 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=560842915, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:39:39 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=576088818, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:39:54 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=591151724, rssi=-125, snr=-10.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:40:25 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=621472534, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:40:36 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=632976455, rssi=-120, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:40:55 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=651781340, rssi=-122, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:41:16 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=673289391, rssi=-115, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:41:27 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=683473399, rssi=-118, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:41:33 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=689615106, rssi=-120, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:41:40 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=697148050, rssi=-123, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:41:48 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=704867004, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:41:52 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=708656977, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:41:56 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=712404915, rssi=-122, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
20/8/2020 11:42:3 msg Info 30aea458f354 30aea474cbcc 150 49 49 30 51 0 1 stats (rx_timestamp=719941908, rssi=-121, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=119, tx_counter=339, tx_frequency=868000000)
