stats (rx_timestamp=2709322498, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6210, tx_frequency=868000000)
17/7/2020 4:22:43 msg Hay buena cobertura con mateu orfila 4034 stats (rx_timestamp=2884761913, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6279, tx_frequency=868000000)
17/7/2020 4:22:47 msg Hay buena cobertura con mateu orfila 4035 stats (rx_timestamp=2888938902, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6281, tx_frequency=868000000)
17/7/2020 4:22:51 msg Hay buena cobertura con mateu orfila 4036 stats (rx_timestamp=2893115832, rssi=-112, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6282, tx_frequency=868000000)
17/7/2020 4:22:55 msg Hay buena cobertura con mateu orfila 4037 stats (rx_timestamp=2897292864, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6284, tx_frequency=868000000)
17/7/2020 4:22:59 msg Hay buena cobertura con mateu orfila 4038 stats (rx_timestamp=2901469759, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=6286, tx_frequency=868000000)
17/7/2020 4:23:4 msg Hay buena cobertura con mateu orfila 4039 stats (rx_timestamp=2905646789, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6287, tx_frequency=868000000)
17/7/2020 4:23:8 msg Hay buena cobertura con mateu orfila 4040 stats (rx_timestamp=2909823809, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6289, tx_frequency=868000000)
17/7/2020 4:23:12 msg Hay buena cobertura con mateu orfila 4041 stats (rx_timestamp=2914000797, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6291, tx_frequency=868000000)
17/7/2020 4:23:16 msg Hay buena cobertura con mateu orfila 4042 stats (rx_timestamp=2918177778, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6292, tx_frequency=868000000)
17/7/2020 4:23:20 msg Hay buena cobertura con mateu orfila 4043 stats (rx_timestamp=2922354766, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6294, tx_frequency=868000000)
